UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797242517300228103250058621K12500006768;05407007972425;300228;32500586;K12500006768
010540700797242517300228103250058621K12500006770;05407007972425;300228;32500586;K12500006770
010540700797242517300228103250058621K12500006772;05407007972425;300228;32500586;K12500006772
010540700797242517300228103250058621K12500006774;05407007972425;300228;32500586;K12500006774
010540700797242517300228103250058621K12500006776;05407007972425;300228;32500586;K12500006776
010540700797242517300228103250058621K12500006778;05407007972425;300228;32500586;K12500006778
010540700797242517300228103250058621K12500006780;05407007972425;300228;32500586;K12500006780
010540700797242517300228103250058621K12500006782;05407007972425;300228;32500586;K12500006782
010540700797242517300228103250058621K12500006784;05407007972425;300228;32500586;K12500006784
010540700797242517300228103250058621K12500006786;05407007972425;300228;32500586;K12500006786
010540700797242517300228103250058621K12500006788;05407007972425;300228;32500586;K12500006788
010540700797242517300228103250058621K12500006790;05407007972425;300228;32500586;K12500006790
010540700797242517300228103250058621K12500006792;05407007972425;300228;32500586;K12500006792
010540700797242517300228103250058621K12500006794;05407007972425;300228;32500586;K12500006794
010540700797242517300228103250058621K12500006800;05407007972425;300228;32500586;K12500006800
010540700797242517300228103250058621K12500006802;05407007972425;300228;32500586;K12500006802
010540700797242517300228103250058621K12500006804;05407007972425;300228;32500586;K12500006804
010540700797242517300228103250058621K12500006806;05407007972425;300228;32500586;K12500006806
010540700797242517300228103250058621K12500006808;05407007972425;300228;32500586;K12500006808
010540700797242517300228103250058621K12500006810;05407007972425;300228;32500586;K12500006810
010540700797242517300228103250058621K12500006812;05407007972425;300228;32500586;K12500006812
010540700797242517300228103250058621K12500006814;05407007972425;300228;32500586;K12500006814
010540700797242517300228103250058621K12500006816;05407007972425;300228;32500586;K12500006816
010540700797242517300228103250058621K12500006818;05407007972425;300228;32500586;K12500006818
010540700797242517300228103250058621K12500006820;05407007972425;300228;32500586;K12500006820
010540700797242517300228103250058621K12500006822;05407007972425;300228;32500586;K12500006822
010540700797242517300228103250058621K12500006824;05407007972425;300228;32500586;K12500006824
010540700797242517300228103250058621K12500006826;05407007972425;300228;32500586;K12500006826
010540700797208117300131103250019021UR2500202529;05407007972081;300131;32500190;UR2500202529
010540700797208117300131103250019021UR2500202533;05407007972081;300131;32500190;UR2500202533
010540700797208117300131103250019021UR2500202535;05407007972081;300131;32500190;UR2500202535
010540700797208117300131103250019021UR2500202541;05407007972081;300131;32500190;UR2500202541
010540700797208117300131103250019021UR2500202543;05407007972081;300131;32500190;UR2500202543
010540700797208117300131103250019021UR2500202545;05407007972081;300131;32500190;UR2500202545
010540700797208117300131103250019021UR2500202547;05407007972081;300131;32500190;UR2500202547
010540700797208117300131103250019021UR2500202549;05407007972081;300131;32500190;UR2500202549
010540700797208117300131103250019021UR2500202551;05407007972081;300131;32500190;UR2500202551
010540700797208117300131103250019021UR2500202553;05407007972081;300131;32500190;UR2500202553
010540700797208117300131103250019021UR2500202555;05407007972081;300131;32500190;UR2500202555
010540700797208117300131103250019021UR2500202557;05407007972081;300131;32500190;UR2500202557
010540700797208117300131103250019021UR2500202559;05407007972081;300131;32500190;UR2500202559
010540700797208117300131103250019021UR2500202561;05407007972081;300131;32500190;UR2500202561
010540700797208117300131103250019021UR2500202563;05407007972081;300131;32500190;UR2500202563
010540700797208117300131103250019021UR2500202565;05407007972081;300131;32500190;UR2500202565
010540700797208117300131103250019021UR2500202567;05407007972081;300131;32500190;UR2500202567
010540700797208117300131103250019021UR2500202569;05407007972081;300131;32500190;UR2500202569
010540700797208117300131103250019021UR2500202571;05407007972081;300131;32500190;UR2500202571
010540700797208117300131103250019021UR2500202573;05407007972081;300131;32500190;UR2500202573
010540700797208117300131103250019021UR2500202575;05407007972081;300131;32500190;UR2500202575
010540700797208117300131103250019021UR2500202577;05407007972081;300131;32500190;UR2500202577
010540700797208117300131103250019021UR2500202579;05407007972081;300131;32500190;UR2500202579
010540700797208117300131103250019021UR2500202581;05407007972081;300131;32500190;UR2500202581
010540700797208117300131103250019021UR2500202583;05407007972081;300131;32500190;UR2500202583
010540700797208117300131103250019021UR2500202585;05407007972081;300131;32500190;UR2500202585
010540700797208117300131103250019021UR2500202587;05407007972081;300131;32500190;UR2500202587
010540700797208117300131103250019021UR2500202589;05407007972081;300131;32500190;UR2500202589
010540700797208117300131103250019021UR2500202591;05407007972081;300131;32500190;UR2500202591
010540700797208117300131103250019021UR2500202593;05407007972081;300131;32500190;UR2500202593
010540700797208117300131103250019021UR2500202595;05407007972081;300131;32500190;UR2500202595
010540700797208117300131103250019021UR2500202597;05407007972081;300131;32500190;UR2500202597
010540700797208117300131103250019021UR2500202599;05407007972081;300131;32500190;UR2500202599
010540700797208117300131103250019021UR2500202601;05407007972081;300131;32500190;UR2500202601
010540700797208117300131103250019021UR2500202603;05407007972081;300131;32500190;UR2500202603
010540700797208117300131103250019021UR2500202605;05407007972081;300131;32500190;UR2500202605
010540700797208117300131103250019021UR2500202607;05407007972081;300131;32500190;UR2500202607
010540700797208117300131103250019021UR2500202609;05407007972081;300131;32500190;UR2500202609
010540700797208117300131103250019021UR2500202611;05407007972081;300131;32500190;UR2500202611
010540700797208117300131103250019021UR2500202613;05407007972081;300131;32500190;UR2500202613
010540700797208117300131103250019021UR2500202615;05407007972081;300131;32500190;UR2500202615
010540700797208117300131103250019021UR2500202617;05407007972081;300131;32500190;UR2500202617
010540700797208117300131103250019021UR2500202619;05407007972081;300131;32500190;UR2500202619
010540700797208117300131103250019021UR2500202621;05407007972081;300131;32500190;UR2500202621
010540700797208117300131103250019021UR2500202623;05407007972081;300131;32500190;UR2500202623
010540700797208117300131103250019021UR2500202625;05407007972081;300131;32500190;UR2500202625
010540700797208117300131103250019021UR2500202627;05407007972081;300131;32500190;UR2500202627
010540700797208117300131103250019021UR2500202629;05407007972081;300131;32500190;UR2500202629
010540700797208117300131103250019021UR2500202631;05407007972081;300131;32500190;UR2500202631
010540700797208117300131103250019021UR2500202633;05407007972081;300131;32500190;UR2500202633
010540700797208117300131103250019021UR2500202635;05407007972081;300131;32500190;UR2500202635
010540700797208117300131103250019021UR2500202637;05407007972081;300131;32500190;UR2500202637
010540700797208117300131103250019021UR2500202639;05407007972081;300131;32500190;UR2500202639
010540700797208117300131103250019021UR2500202641;05407007972081;300131;32500190;UR2500202641
010540700797208117300131103250019021UR2500202643;05407007972081;300131;32500190;UR2500202643
010540700797208117300131103250019021UR2500202645;05407007972081;300131;32500190;UR2500202645
010540700797208117300131103250019021UR2500202647;05407007972081;300131;32500190;UR2500202647
010540700797208117300131103250019021UR2500202649;05407007972081;300131;32500190;UR2500202649
010540700797208117300131103250019021UR2500202651;05407007972081;300131;32500190;UR2500202651
010540700797208117300131103250019021UR2500202653;05407007972081;300131;32500190;UR2500202653
