UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797208117300228103250058721UR2500211915;05407007972081;300228;32500587;UR2500211915
010540700797208117300228103250058721UR2500211917;05407007972081;300228;32500587;UR2500211917
010540700797208117300228103250058721UR2500211919;05407007972081;300228;32500587;UR2500211919
010540700797208117300228103250058721UR2500211921;05407007972081;300228;32500587;UR2500211921
010540700797208117300228103250058721UR2500211923;05407007972081;300228;32500587;UR2500211923
010540700797208117300228103250058721UR2500211925;05407007972081;300228;32500587;UR2500211925
010540700797208117300228103250058721UR2500211927;05407007972081;300228;32500587;UR2500211927
010540700797208117300228103250058721UR2500211929;05407007972081;300228;32500587;UR2500211929
010540700797208117300228103250058721UR2500211931;05407007972081;300228;32500587;UR2500211931
010540700797208117300228103250058721UR2500211933;05407007972081;300228;32500587;UR2500211933
010540700797208117300228103250058721UR2500211935;05407007972081;300228;32500587;UR2500211935
010540700797208117300228103250058721UR2500211937;05407007972081;300228;32500587;UR2500211937
010540700797208117300228103250058721UR2500211939;05407007972081;300228;32500587;UR2500211939
010540700797208117300228103250058721UR2500211941;05407007972081;300228;32500587;UR2500211941
010540700797208117300228103250058721UR2500211943;05407007972081;300228;32500587;UR2500211943
010540700797208117300228103250058721UR2500211945;05407007972081;300228;32500587;UR2500211945
010540700797208117300228103250058721UR2500211947;05407007972081;300228;32500587;UR2500211947
010540700797208117300228103250058721UR2500211949;05407007972081;300228;32500587;UR2500211949
010540700797208117300228103250058721UR2500211951;05407007972081;300228;32500587;UR2500211951
010540700797208117300228103250058721UR2500211953;05407007972081;300228;32500587;UR2500211953
010540700797208117300228103250058721UR2500211955;05407007972081;300228;32500587;UR2500211955
010540700797208117300228103250058721UR2500211957;05407007972081;300228;32500587;UR2500211957
010540700797208117300228103250058721UR2500211959;05407007972081;300228;32500587;UR2500211959
010540700797208117300228103250058721UR2500211961;05407007972081;300228;32500587;UR2500211961
010540700797208117300228103250058721UR2500211963;05407007972081;300228;32500587;UR2500211963
010540700797208117300228103250058721UR2500211965;05407007972081;300228;32500587;UR2500211965
010540700797208117300228103250058721UR2500211967;05407007972081;300228;32500587;UR2500211967
010540700797208117300228103250058721UR2500211969;05407007972081;300228;32500587;UR2500211969
010540700797208117300228103250058721UR2500211971;05407007972081;300228;32500587;UR2500211971
010540700797208117300228103250058721UR2500211973;05407007972081;300228;32500587;UR2500211973
010540700797208117300228103250058721UR2500211975;05407007972081;300228;32500587;UR2500211975
010540700797208117300228103250058721UR2500211977;05407007972081;300228;32500587;UR2500211977
010540700797208117300228103250058721UR2500211979;05407007972081;300228;32500587;UR2500211979
010540700797208117300228103250058721UR2500211981;05407007972081;300228;32500587;UR2500211981
010540700797208117300228103250058721UR2500211983;05407007972081;300228;32500587;UR2500211983
010540700797208117300228103250058721UR2500211985;05407007972081;300228;32500587;UR2500211985
010540700797208117300228103250058721UR2500211987;05407007972081;300228;32500587;UR2500211987
010540700797208117300228103250058721UR2500211989;05407007972081;300228;32500587;UR2500211989
010540700797208117300228103250058721UR2500211991;05407007972081;300228;32500587;UR2500211991
010540700797208117300228103250058721UR2500211993;05407007972081;300228;32500587;UR2500211993
010540700797208117300228103250058721UR2500211995;05407007972081;300228;32500587;UR2500211995
010540700797208117300228103250058721UR2500211997;05407007972081;300228;32500587;UR2500211997
010540700797208117300228103250058721UR2500211999;05407007972081;300228;32500587;UR2500211999
010540700797208117300228103250058721UR2500212001;05407007972081;300228;32500587;UR2500212001
010540700797208117300228103250058721UR2500212003;05407007972081;300228;32500587;UR2500212003
010540700797208117300228103250058721UR2500212005;05407007972081;300228;32500587;UR2500212005
010540700797208117300228103250058721UR2500212007;05407007972081;300228;32500587;UR2500212007
010540700797208117300228103250058721UR2500212009;05407007972081;300228;32500587;UR2500212009
010540700797208117300228103250058721UR2500212011;05407007972081;300228;32500587;UR2500212011
010540700797208117300228103250058721UR2500212013;05407007972081;300228;32500587;UR2500212013
010540700797208117300228103250058721UR2500212015;05407007972081;300228;32500587;UR2500212015
010540700797208117300228103250058721UR2500212017;05407007972081;300228;32500587;UR2500212017
010540700797208117300228103250058721UR2500212019;05407007972081;300228;32500587;UR2500212019
010540700797208117300228103250058721UR2500212021;05407007972081;300228;32500587;UR2500212021
010540700797208117300228103250058721UR2500212023;05407007972081;300228;32500587;UR2500212023
010540700797208117300228103250058721UR2500212025;05407007972081;300228;32500587;UR2500212025
010540700797208117300228103250058721UR2500212027;05407007972081;300228;32500587;UR2500212027
