UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797208117300228103250058721UR2500209692;05407007972081;300228;32500587;UR2500209692
010540700797208117300228103250058721UR2500209694;05407007972081;300228;32500587;UR2500209694
010540700797208117300228103250058721UR2500209696;05407007972081;300228;32500587;UR2500209696
010540700797208117300228103250058721UR2500209698;05407007972081;300228;32500587;UR2500209698
010540700797208117300228103250058721UR2500209700;05407007972081;300228;32500587;UR2500209700
010540700797208117300228103250058721UR2500209702;05407007972081;300228;32500587;UR2500209702
010540700797208117300228103250058721UR2500209704;05407007972081;300228;32500587;UR2500209704
010540700797208117300228103250058721UR2500209706;05407007972081;300228;32500587;UR2500209706
010540700797208117300228103250058721UR2500209708;05407007972081;300228;32500587;UR2500209708
010540700797208117300228103250058721UR2500209710;05407007972081;300228;32500587;UR2500209710
010540700797208117300228103250058721UR2500209712;05407007972081;300228;32500587;UR2500209712
010540700797208117300228103250058721UR2500209714;05407007972081;300228;32500587;UR2500209714
010540700797208117300228103250058721UR2500209716;05407007972081;300228;32500587;UR2500209716
010540700797208117300228103250058721UR2500209718;05407007972081;300228;32500587;UR2500209718
010540700797208117300228103250058721UR2500209720;05407007972081;300228;32500587;UR2500209720
010540700797208117300228103250058721UR2500209722;05407007972081;300228;32500587;UR2500209722
010540700797208117300228103250058721UR2500209724;05407007972081;300228;32500587;UR2500209724
010540700797208117300228103250058721UR2500209726;05407007972081;300228;32500587;UR2500209726
010540700797208117300228103250058721UR2500209728;05407007972081;300228;32500587;UR2500209728
010540700797208117300228103250058721UR2500209730;05407007972081;300228;32500587;UR2500209730
010540700797208117300228103250058721UR2500209732;05407007972081;300228;32500587;UR2500209732
010540700797208117300228103250058721UR2500209734;05407007972081;300228;32500587;UR2500209734
010540700797208117300228103250058721UR2500209736;05407007972081;300228;32500587;UR2500209736
010540700797208117300228103250058721UR2500209738;05407007972081;300228;32500587;UR2500209738
010540700797208117300228103250058721UR2500209740;05407007972081;300228;32500587;UR2500209740
010540700797208117300228103250058721UR2500209742;05407007972081;300228;32500587;UR2500209742
010540700797208117300228103250058721UR2500209744;05407007972081;300228;32500587;UR2500209744
010540700797208117300228103250058721UR2500209746;05407007972081;300228;32500587;UR2500209746
010540700797208117300228103250058721UR2500209748;05407007972081;300228;32500587;UR2500209748
010540700797208117300228103250058721UR2500209750;05407007972081;300228;32500587;UR2500209750
010540700797208117300228103250058721UR2500209752;05407007972081;300228;32500587;UR2500209752
010540700797208117300228103250058721UR2500209754;05407007972081;300228;32500587;UR2500209754
010540700797208117300228103250058721UR2500209756;05407007972081;300228;32500587;UR2500209756
010540700797208117300228103250058721UR2500209758;05407007972081;300228;32500587;UR2500209758
010540700797208117300228103250058721UR2500209760;05407007972081;300228;32500587;UR2500209760
010540700797208117300228103250058721UR2500209762;05407007972081;300228;32500587;UR2500209762
010540700797208117300228103250058721UR2500209764;05407007972081;300228;32500587;UR2500209764
010540700797208117300228103250058721UR2500209766;05407007972081;300228;32500587;UR2500209766
010540700797208117300228103250058721UR2500209768;05407007972081;300228;32500587;UR2500209768
010540700797208117300228103250058721UR2500209770;05407007972081;300228;32500587;UR2500209770
010540700797208117300228103250058721UR2500209772;05407007972081;300228;32500587;UR2500209772
010540700797208117300228103250058721UR2500209774;05407007972081;300228;32500587;UR2500209774
010540700797208117300228103250058721UR2500209776;05407007972081;300228;32500587;UR2500209776
010540700797208117300228103250058721UR2500209778;05407007972081;300228;32500587;UR2500209778
010540700797208117300228103250058721UR2500209780;05407007972081;300228;32500587;UR2500209780
010540700797208117300228103250058721UR2500209782;05407007972081;300228;32500587;UR2500209782
010540700797208117300228103250058721UR2500209784;05407007972081;300228;32500587;UR2500209784
010540700797208117300228103250058721UR2500209786;05407007972081;300228;32500587;UR2500209786
010540700797208117300228103250058721UR2500209788;05407007972081;300228;32500587;UR2500209788
010540700797208117300228103250058721UR2500209790;05407007972081;300228;32500587;UR2500209790
010540700797208117300228103250058721UR2500209792;05407007972081;300228;32500587;UR2500209792
010540700797208117300228103250058721UR2500209794;05407007972081;300228;32500587;UR2500209794
010540700797208117300228103250058721UR2500209796;05407007972081;300228;32500587;UR2500209796
010540700797208117300228103250058721UR2500209798;05407007972081;300228;32500587;UR2500209798
010540700797208117300228103250058721UR2500209800;05407007972081;300228;32500587;UR2500209800
010540700797208117300228103250058721UR2500209802;05407007972081;300228;32500587;UR2500209802
010540700797208117300228103250058721UR2500209804;05407007972081;300228;32500587;UR2500209804
010540700797208117300228103250058721UR2500209806;05407007972081;300228;32500587;UR2500209806
010540700797208117300228103250058721UR2500209808;05407007972081;300228;32500587;UR2500209808
010540700797208117300228103250058721UR2500209810;05407007972081;300228;32500587;UR2500209810
010540700797208117300228103250058721UR2500209812;05407007972081;300228;32500587;UR2500209812
010540700797208117300228103250058721UR2500209814;05407007972081;300228;32500587;UR2500209814
010540700797208117300228103250058721UR2500209816;05407007972081;300228;32500587;UR2500209816
010540700797208117300228103250058721UR2500209818;05407007972081;300228;32500587;UR2500209818
010540700797208117300228103250058721UR2500209820;05407007972081;300228;32500587;UR2500209820
010540700797208117300228103250058721UR2500209822;05407007972081;300228;32500587;UR2500209822
010540700797208117300228103250058721UR2500209824;05407007972081;300228;32500587;UR2500209824
010540700797208117300228103250058721UR2500209826;05407007972081;300228;32500587;UR2500209826
010540700797208117300228103250058721UR2500209828;05407007972081;300228;32500587;UR2500209828
010540700797208117300228103250058721UR2500209830;05407007972081;300228;32500587;UR2500209830
010540700797208117300228103250058721UR2500209832;05407007972081;300228;32500587;UR2500209832
010540700797208117300228103250058721UR2500209834;05407007972081;300228;32500587;UR2500209834
010540700797208117300228103250058721UR2500209836;05407007972081;300228;32500587;UR2500209836
010540700797208117300228103250058721UR2500209838;05407007972081;300228;32500587;UR2500209838
010540700797208117300228103250058721UR2500209840;05407007972081;300228;32500587;UR2500209840
010540700797208117300228103250058721UR2500209842;05407007972081;300228;32500587;UR2500209842
010540700797208117300228103250058721UR2500209844;05407007972081;300228;32500587;UR2500209844
010540700797208117300228103250058721UR2500209846;05407007972081;300228;32500587;UR2500209846
010540700797208117300228103250058721UR2500209848;05407007972081;300228;32500587;UR2500209848
010540700797208117300228103250058721UR2500209850;05407007972081;300228;32500587;UR2500209850
010540700797208117300228103250058721UR2500209852;05407007972081;300228;32500587;UR2500209852
010540700797208117300228103250058721UR2500209854;05407007972081;300228;32500587;UR2500209854
