UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
01054070079720981729073110141251421UR2500164098;05407007972098;290731;1412514;UR2500164098
01054070079720981729073110141251421UR2500164100;05407007972098;290731;1412514;UR2500164100
01054070079720981729073110141251421UR2500164102;05407007972098;290731;1412514;UR2500164102
01054070079720981729073110141251421UR2500164104;05407007972098;290731;1412514;UR2500164104
01054070079720981729073110141251421UR2500164106;05407007972098;290731;1412514;UR2500164106
%46y;6y;;;
010540700797202917280228103602202521PU2500011332;05407007972029;280228;36022025;PU2500011332
010540700797202917280228103602202521PU2500011333;05407007972029;280228;36022025;PU2500011333
