UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
01054070079720981729073110141251421UR2500164079;05407007972098;290731;1412514;UR2500164079
01054070079720981729073110141251421UR2500164081;05407007972098;290731;1412514;UR2500164081
01054070079720981729073110141251421UR2500164083;05407007972098;290731;1412514;UR2500164083
01054070079720981729073110141251421UR2500164085;05407007972098;290731;1412514;UR2500164085
01054070079720981729073110141251421UR2500164087;05407007972098;290731;1412514;UR2500164087
01054070079720981729073110141251421UR2500164091;05407007972098;290731;1412514;UR2500164091
01054070079720981729073110141251421UR2500164093;05407007972098;290731;1412514;UR2500164093
01054070079720981729073110141251421UR2500164095;05407007972098;290731;1412514;UR2500164095
01054070079720981729073110141251421UR2500164097;05407007972098;290731;1412514;UR2500164097
01054070079720981729073110141251421UR2500164099;05407007972098;290731;1412514;UR2500164099
01054070079720981729073110141251421UR2500164101;05407007972098;290731;1412514;UR2500164101
