UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797208117300131103250019021UR2500204361;05407007972081;300131;32500190;UR2500204361
010540700797208117300131103250019021UR2500204363;05407007972081;300131;32500190;UR2500204363
010540700797208117300131103250019021UR2500204365;05407007972081;300131;32500190;UR2500204365
010540700797208117300131103250019021UR2500204367;05407007972081;300131;32500190;UR2500204367
010540700797208117300131103250019021UR2500204369;05407007972081;300131;32500190;UR2500204369
010540700797208117300131103250019021UR2500204371;05407007972081;300131;32500190;UR2500204371
010540700797208117300131103250019021UR2500204373;05407007972081;300131;32500190;UR2500204373
010540700797208117300131103250019021UR2500204375;05407007972081;300131;32500190;UR2500204375
010540700797208117300131103250019021UR2500204377;05407007972081;300131;32500190;UR2500204377
010540700797208117300131103250019021UR2500204379;05407007972081;300131;32500190;UR2500204379
010540700797208117300131103250019021UR2500204381;05407007972081;300131;32500190;UR2500204381
010540700797208117300131103250019021UR2500204383;05407007972081;300131;32500190;UR2500204383
010540700797208117300131103250019021UR2500204385;05407007972081;300131;32500190;UR2500204385
010540700797208117300131103250019021UR2500204387;05407007972081;300131;32500190;UR2500204387
010540700797208117300131103250019021UR2500204389;05407007972081;300131;32500190;UR2500204389
010540700797208117300131103250019021UR2500204391;05407007972081;300131;32500190;UR2500204391
010540700797208117300131103250019021UR2500204393;05407007972081;300131;32500190;UR2500204393
010540700797208117300131103250019021UR2500204395;05407007972081;300131;32500190;UR2500204395
010540700797208117300131103250019021UR2500204397;05407007972081;300131;32500190;UR2500204397
010540700797208117300131103250019021UR2500204399;05407007972081;300131;32500190;UR2500204399
010540700797208117300131103250019021UR2500204401;05407007972081;300131;32500190;UR2500204401
010540700797208117300131103250019021UR2500204403;05407007972081;300131;32500190;UR2500204403
010540700797208117300131103250019021UR2500204405;05407007972081;300131;32500190;UR2500204405
010540700797208117300131103250019021UR2500204407;05407007972081;300131;32500190;UR2500204407
010540700797208117300131103250019021UR2500204409;05407007972081;300131;32500190;UR2500204409
010540700797208117300131103250019021UR2500204411;05407007972081;300131;32500190;UR2500204411
010540700797208117300131103250019021UR2500204413;05407007972081;300131;32500190;UR2500204413
010540700797208117300131103250019021UR2500204415;05407007972081;300131;32500190;UR2500204415
010540700797208117300131103250019021UR2500204417;05407007972081;300131;32500190;UR2500204417
010540700797208117300131103250019021UR2500204419;05407007972081;300131;32500190;UR2500204419
010540700797208117300131103250019021UR2500204421;05407007972081;300131;32500190;UR2500204421
010540700797208117300131103250019021UR2500204423;05407007972081;300131;32500190;UR2500204423
010540700797208117300131103250019021UR2500204425;05407007972081;300131;32500190;UR2500204425
010540700797208117300131103250019021UR2500204427;05407007972081;300131;32500190;UR2500204427
010540700797208117300131103250019021UR2500204429;05407007972081;300131;32500190;UR2500204429
010540700797208117300131103250019021UR2500204431;05407007972081;300131;32500190;UR2500204431
010540700797208117300131103250019021UR2500204433;05407007972081;300131;32500190;UR2500204433
010540700797208117300131103250019021UR2500204435;05407007972081;300131;32500190;UR2500204435
010540700797208117300131103250019021UR2500204437;05407007972081;300131;32500190;UR2500204437
010540700797208117300131103250019021UR2500204439;05407007972081;300131;32500190;UR2500204439
010540700797208117300131103250019021UR2500204441;05407007972081;300131;32500190;UR2500204441
010540700797208117300131103250019021UR2500204443;05407007972081;300131;32500190;UR2500204443
010540700797208117300131103250019021UR2500204445;05407007972081;300131;32500190;UR2500204445
010540700797208117300131103250019021UR2500204447;05407007972081;300131;32500190;UR2500204447
010540700797208117300131103250019021UR2500204449;05407007972081;300131;32500190;UR2500204449
010540700797208117300131103250019021UR2500204451;05407007972081;300131;32500190;UR2500204451
010540700797208117300131103250019021UR2500204453;05407007972081;300131;32500190;UR2500204453
010540700797208117300131103250019021UR2500204455;05407007972081;300131;32500190;UR2500204455
010540700797208117300131103250019021UR2500204457;05407007972081;300131;32500190;UR2500204457
010540700797208117300131103250019021UR2500204459;05407007972081;300131;32500190;UR2500204459
010540700797208117300131103250019021UR2500204461;05407007972081;300131;32500190;UR2500204461
010540700797208117300131103250019021UR2500204463;05407007972081;300131;32500190;UR2500204463
010540700797208117300131103250019021UR2500204465;05407007972081;300131;32500190;UR2500204465
010540700797208117300131103250019021UR2500204467;05407007972081;300131;32500190;UR2500204467
010540700797208117300131103250019021UR2500204469;05407007972081;300131;32500190;UR2500204469
010540700797208117300131103250019021UR2500204471;05407007972081;300131;32500190;UR2500204471
010540700797208117300131103250019021UR2500204473;05407007972081;300131;32500190;UR2500204473
010540700797208117300131103250019021UR2500204475;05407007972081;300131;32500190;UR2500204475
010540700797208117300131103250019021UR2500204477;05407007972081;300131;32500190;UR2500204477
010540700797208117300131103250019021UR2500204479;05407007972081;300131;32500190;UR2500204479
010540700797208117300131103250019021UR2500204481;05407007972081;300131;32500190;UR2500204481
010540700797208117300131103250019021UR2500204483;05407007972081;300131;32500190;UR2500204483
010540700797208117300131103250019021UR2500204485;05407007972081;300131;32500190;UR2500204485
010540700797208117300131103250019021UR2500204487;05407007972081;300131;32500190;UR2500204487
010540700797208117300131103250019021UR2500204489;05407007972081;300131;32500190;UR2500204489
010540700797208117300131103250019021UR2500204491;05407007972081;300131;32500190;UR2500204491
010540700797208117300131103250019021UR2500204493;05407007972081;300131;32500190;UR2500204493
010540700797208117300131103250019021UR2500204495;05407007972081;300131;32500190;UR2500204495
010540700797208117300131103250019021UR2500204497;05407007972081;300131;32500190;UR2500204497
010540700797208117300131103250019021UR2500204499;05407007972081;300131;32500190;UR2500204499
010540700797208117300131103250019021UR2500204501;05407007972081;300131;32500190;UR2500204501
010540700797208117300131103250019021UR2500204503;05407007972081;300131;32500190;UR2500204503
010540700797208117300131103250019021UR2500204505;05407007972081;300131;32500190;UR2500204505
010540700797208117300131103250019021UR2500204507;05407007972081;300131;32500190;UR2500204507
010540700797208117300131103250019021UR2500204509;05407007972081;300131;32500190;UR2500204509
010540700797208117300131103250019021UR2500204511;05407007972081;300131;32500190;UR2500204511
010540700797208117300131103250019021UR2500204513;05407007972081;300131;32500190;UR2500204513
010540700797208117300131103250019021UR2500204515;05407007972081;300131;32500190;UR2500204515
010540700797208117300131103250019021UR2500204517;05407007972081;300131;32500190;UR2500204517
010540700797208117300131103250019021UR2500204519;05407007972081;300131;32500190;UR2500204519
010540700797208117300131103250019021UR2500204521;05407007972081;300131;32500190;UR2500204521
010540700797208117300131103250019021UR2500204523;05407007972081;300131;32500190;UR2500204523
010540700797208117300131103250019021UR2500204525;05407007972081;300131;32500190;UR2500204525
