UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797208117300131103250019021UR2500195274;05407007972081;300131;32500190;UR2500195274
010540700797208117300131103250019021UR2500195276;05407007972081;300131;32500190;UR2500195276
010540700797208117300131103250019021UR2500195278;05407007972081;300131;32500190;UR2500195278
010540700797208117300131103250019021UR2500195280;05407007972081;300131;32500190;UR2500195280
010540700797208117300131103250019021UR2500195282;05407007972081;300131;32500190;UR2500195282
010540700797208117300131103250019021UR2500195284;05407007972081;300131;32500190;UR2500195284
010540700797208117300131103250019021UR2500195286;05407007972081;300131;32500190;UR2500195286
010540700797208117300131103250019021UR2500195288;05407007972081;300131;32500190;UR2500195288
010540700797208117300131103250019021UR2500195290;05407007972081;300131;32500190;UR2500195290
010540700797208117300131103250019021UR2500195292;05407007972081;300131;32500190;UR2500195292
010540700797208117300131103250019021UR2500195294;05407007972081;300131;32500190;UR2500195294
010540700797208117300131103250019021UR2500195296;05407007972081;300131;32500190;UR2500195296
010540700797208117300131103250019021UR2500195298;05407007972081;300131;32500190;UR2500195298
010540700797208117300131103250019021UR2500195300;05407007972081;300131;32500190;UR2500195300
010540700797208117300131103250019021UR2500195302;05407007972081;300131;32500190;UR2500195302
010540700797208117300131103250019021UR2500195304;05407007972081;300131;32500190;UR2500195304
010540700797208117300131103250019021UR2500195306;05407007972081;300131;32500190;UR2500195306
010540700797208117300131103250019021UR2500195308;05407007972081;300131;32500190;UR2500195308
010540700797208117300131103250019021UR2500195310;05407007972081;300131;32500190;UR2500195310
010540700797208117300131103250019021UR2500195312;05407007972081;300131;32500190;UR2500195312
010540700797208117300131103250019021UR2500195314;05407007972081;300131;32500190;UR2500195314
010540700797208117300131103250019021UR2500195316;05407007972081;300131;32500190;UR2500195316
010540700797208117300131103250019021UR2500195318;05407007972081;300131;32500190;UR2500195318
010540700797208117300131103250019021UR2500195320;05407007972081;300131;32500190;UR2500195320
010540700797208117300131103250019021UR2500195322;05407007972081;300131;32500190;UR2500195322
010540700797208117300131103250019021UR2500195324;05407007972081;300131;32500190;UR2500195324
010540700797208117300131103250019021UR2500195326;05407007972081;300131;32500190;UR2500195326
010540700797208117300131103250019021UR2500195328;05407007972081;300131;32500190;UR2500195328
010540700797208117300131103250019021UR2500195330;05407007972081;300131;32500190;UR2500195330
010540700797208117300131103250019021UR2500195332;05407007972081;300131;32500190;UR2500195332
010540700797208117300131103250019021UR2500195334;05407007972081;300131;32500190;UR2500195334
010540700797208117300131103250019021UR2500195336;05407007972081;300131;32500190;UR2500195336
010540700797208117300131103250019021UR2500195338;05407007972081;300131;32500190;UR2500195338
010540700797208117300131103250019021UR2500195340;05407007972081;300131;32500190;UR2500195340
010540700797208117300131103250019021UR2500195342;05407007972081;300131;32500190;UR2500195342
010540700797208117300131103250019021UR2500195344;05407007972081;300131;32500190;UR2500195344
010540700797208117300131103250019021UR2500195346;05407007972081;300131;32500190;UR2500195346
010540700797208117300131103250019021UR2500195348;05407007972081;300131;32500190;UR2500195348
010540700797208117300131103250019021UR2500195350;05407007972081;300131;32500190;UR2500195350
010540700797208117300131103250019021UR2500195352;05407007972081;300131;32500190;UR2500195352
010540700797208117300131103250019021UR2500195354;05407007972081;300131;32500190;UR2500195354
010540700797208117300131103250019021UR2500195356;05407007972081;300131;32500190;UR2500195356
010540700797208117300131103250019021UR2500195358;05407007972081;300131;32500190;UR2500195358
010540700797208117300131103250019021UR2500195360;05407007972081;300131;32500190;UR2500195360
010540700797208117300131103250019021UR2500195362;05407007972081;300131;32500190;UR2500195362
010540700797208117300131103250019021UR2500195364;05407007972081;300131;32500190;UR2500195364
010540700797208117300131103250019021UR2500195366;05407007972081;300131;32500190;UR2500195366
010540700797208117300131103250019021UR2500195368;05407007972081;300131;32500190;UR2500195368
010540700797208117300131103250019021UR2500195370;05407007972081;300131;32500190;UR2500195370
010540700797208117300131103250019021UR2500195372;05407007972081;300131;32500190;UR2500195372
010540700797208117300131103250019021UR2500195374;05407007972081;300131;32500190;UR2500195374
010540700797208117300131103250019021UR2500195376;05407007972081;300131;32500190;UR2500195376
010540700797208117300131103250019021UR2500195378;05407007972081;300131;32500190;UR2500195378
010540700797208117300131103250019021UR2500195380;05407007972081;300131;32500190;UR2500195380
010540700797208117300131103250019021UR2500195382;05407007972081;300131;32500190;UR2500195382
010540700797208117300131103250019021UR2500195384;05407007972081;300131;32500190;UR2500195384
010540700797208117300131103250019021UR2500195386;05407007972081;300131;32500190;UR2500195386
010540700797208117300131103250019021UR2500195388;05407007972081;300131;32500190;UR2500195388
010540700797208117300131103250019021UR2500195390;05407007972081;300131;32500190;UR2500195390
010540700797208117300131103250019021UR2500195392;05407007972081;300131;32500190;UR2500195392
010540700797208117300131103250019021UR2500195394;05407007972081;300131;32500190;UR2500195394
010540700797208117300131103250019021UR2500195396;05407007972081;300131;32500190;UR2500195396
010540700797208117300131103250019021UR2500195398;05407007972081;300131;32500190;UR2500195398
010540700797208117300131103250019021UR2500195400;05407007972081;300131;32500190;UR2500195400
010540700797208117300131103250019021UR2500195402;05407007972081;300131;32500190;UR2500195402
010540700797208117300131103250019021UR2500195404;05407007972081;300131;32500190;UR2500195404
010540700797208117300131103250019021UR2500195406;05407007972081;300131;32500190;UR2500195406
010540700797208117300131103250019021UR2500195408;05407007972081;300131;32500190;UR2500195408
010540700797208117300131103250019021UR2500195410;05407007972081;300131;32500190;UR2500195410
010540700797208117300131103250019021UR2500195412;05407007972081;300131;32500190;UR2500195412
010540700797208117300131103250019021UR2500195414;05407007972081;300131;32500190;UR2500195414
010540700797208117300131103250019021UR2500195416;05407007972081;300131;32500190;UR2500195416
010540700797208117300131103250019021UR2500195418;05407007972081;300131;32500190;UR2500195418
010540700797208117300131103250019021UR2500195420;05407007972081;300131;32500190;UR2500195420
010540700797208117300131103250019021UR2500195422;05407007972081;300131;32500190;UR2500195422
010540700797208117300131103250019021UR2500195424;05407007972081;300131;32500190;UR2500195424
010540700797208117300131103250019021UR2500195426;05407007972081;300131;32500190;UR2500195426
010540700797208117300131103250019021UR2500195428;05407007972081;300131;32500190;UR2500195428
010540700797208117300131103250019021UR2500195430;05407007972081;300131;32500190;UR2500195430
010540700797208117300131103250019021UR2500195432;05407007972081;300131;32500190;UR2500195432
010540700797208117300131103250019021UR2500195434;05407007972081;300131;32500190;UR2500195434
010540700797208117300131103250019021UR2500195436;05407007972081;300131;32500190;UR2500195436
010540700797208117300131103250019021UR2500195438;05407007972081;300131;32500190;UR2500195438
010540700797208117300131103250019021UR2500195440;05407007972081;300131;32500190;UR2500195440
010540700797208117300131103250019021UR2500195442;05407007972081;300131;32500190;UR2500195442
010540700797208117300131103250019021UR2500195444;05407007972081;300131;32500190;UR2500195444
010540700797208117300131103250019021UR2500195446;05407007972081;300131;32500190;UR2500195446
010540700797208117300131103250019021UR2500195448;05407007972081;300131;32500190;UR2500195448
010540700797208117300131103250019021UR2500195450;05407007972081;300131;32500190;UR2500195450
010540700797208117300131103250019021UR2500195452;05407007972081;300131;32500190;UR2500195452
010540700797208117300131103250019021UR2500195454;05407007972081;300131;32500190;UR2500195454
010540700797208117300131103250019021UR2500195456;05407007972081;300131;32500190;UR2500195456
010540700797208117300131103250019021UR2500195458;05407007972081;300131;32500190;UR2500195458
010540700797208117300131103250019021UR2500195460;05407007972081;300131;32500190;UR2500195460
010540700797208117300131103250019021UR2500195462;05407007972081;300131;32500190;UR2500195462
010540700797208117300131103250019021UR2500195464;05407007972081;300131;32500190;UR2500195464
010540700797208117300131103250019021UR2500195466;05407007972081;300131;32500190;UR2500195466
010540700797208117300131103250019021UR2500195468;05407007972081;300131;32500190;UR2500195468
010540700797208117300131103250019021UR2500195470;05407007972081;300131;32500190;UR2500195470
010540700797208117300131103250019021UR2500195472;05407007972081;300131;32500190;UR2500195472
010540700797208117300131103250019021UR2500195474;05407007972081;300131;32500190;UR2500195474
010540700797208117300131103250019021UR2500195476;05407007972081;300131;32500190;UR2500195476
010540700797208117300131103250019021UR2500195478;05407007972081;300131;32500190;UR2500195478
010540700797208117300131103250019021UR2500195480;05407007972081;300131;32500190;UR2500195480
010540700797208117300131103250019021UR2500195482;05407007972081;300131;32500190;UR2500195482
010540700797208117300131103250019021UR2500195484;05407007972081;300131;32500190;UR2500195484
010540700797208117300131103250019021UR2500195486;05407007972081;300131;32500190;UR2500195486
010540700797208117300131103250019021UR2500195488;05407007972081;300131;32500190;UR2500195488
010540700797208117300131103250019021UR2500195490;05407007972081;300131;32500190;UR2500195490
010540700797208117300131103250019021UR2500195492;05407007972081;300131;32500190;UR2500195492
010540700797208117300131103250019021UR2500195494;05407007972081;300131;32500190;UR2500195494
010540700797208117300131103250019021UR2500195496;05407007972081;300131;32500190;UR2500195496
010540700797208117300131103250019021UR2500195498;05407007972081;300131;32500190;UR2500195498
010540700797208117300131103250019021UR2500195500;05407007972081;300131;32500190;UR2500195500
010540700797208117300131103250019021UR2500195502;05407007972081;300131;32500190;UR2500195502
010540700797208117300131103250019021UR2500195504;05407007972081;300131;32500190;UR2500195504
010540700797208117300131103250019021UR2500195506;05407007972081;300131;32500190;UR2500195506
