UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797208117300228103250058721UR2500212180;05407007972081;300228;32500587;UR2500212180
010540700797208117300228103250058721UR2500212182;05407007972081;300228;32500587;UR2500212182
010540700797208117300228103250058721UR2500212184;05407007972081;300228;32500587;UR2500212184
010540700797208117300228103250058721UR2500212186;05407007972081;300228;32500587;UR2500212186
010540700797208117300228103250058721UR2500212188;05407007972081;300228;32500587;UR2500212188
010540700797208117300228103250058721UR2500212190;05407007972081;300228;32500587;UR2500212190
010540700797208117300228103250058721UR2500212192;05407007972081;300228;32500587;UR2500212192
010540700797208117300228103250058721UR2500212194;05407007972081;300228;32500587;UR2500212194
010540700797208117300228103250058721UR2500212196;05407007972081;300228;32500587;UR2500212196
010540700797208117300228103250058721UR2500212198;05407007972081;300228;32500587;UR2500212198
010540700797208117300228103250058721UR2500212200;05407007972081;300228;32500587;UR2500212200
010540700797208117300228103250058721UR2500212202;05407007972081;300228;32500587;UR2500212202
010540700797208117300228103250058721UR2500212204;05407007972081;300228;32500587;UR2500212204
010540700797208117300228103250058721UR2500212206;05407007972081;300228;32500587;UR2500212206
010540700797208117300228103250058721UR2500212208;05407007972081;300228;32500587;UR2500212208
010540700797208117300228103250058721UR2500212210;05407007972081;300228;32500587;UR2500212210
010540700797208117300228103250058721UR2500212212;05407007972081;300228;32500587;UR2500212212
010540700797208117300228103250058721UR2500212214;05407007972081;300228;32500587;UR2500212214
010540700797208117300228103250058721UR2500212216;05407007972081;300228;32500587;UR2500212216
010540700797208117300228103250058721UR2500212218;05407007972081;300228;32500587;UR2500212218
010540700797208117300228103250058721UR2500212220;05407007972081;300228;32500587;UR2500212220
010540700797208117300228103250058721UR2500212222;05407007972081;300228;32500587;UR2500212222
010540700797208117300228103250058721UR2500212224;05407007972081;300228;32500587;UR2500212224
010540700797208117300228103250058721UR2500212226;05407007972081;300228;32500587;UR2500212226
010540700797208117300228103250058721UR2500212228;05407007972081;300228;32500587;UR2500212228
010540700797208117300228103250058721UR2500212230;05407007972081;300228;32500587;UR2500212230
010540700797208117300228103250058721UR2500212232;05407007972081;300228;32500587;UR2500212232
010540700797208117300228103250058721UR2500212234;05407007972081;300228;32500587;UR2500212234
010540700797208117300228103250058721UR2500212236;05407007972081;300228;32500587;UR2500212236
010540700797208117300228103250058721UR2500212238;05407007972081;300228;32500587;UR2500212238
010540700797208117300228103250058721UR2500212240;05407007972081;300228;32500587;UR2500212240
010540700797208117300228103250058721UR2500212242;05407007972081;300228;32500587;UR2500212242
010540700797208117300228103250058721UR2500212244;05407007972081;300228;32500587;UR2500212244
010540700797208117300228103250058721UR2500212246;05407007972081;300228;32500587;UR2500212246
010540700797208117300228103250058721UR2500212248;05407007972081;300228;32500587;UR2500212248
010540700797208117300228103250058721UR2500212250;05407007972081;300228;32500587;UR2500212250
010540700797208117300228103250058721UR2500212252;05407007972081;300228;32500587;UR2500212252
010540700797208117300228103250058721UR2500212254;05407007972081;300228;32500587;UR2500212254
010540700797208117300228103250058721UR2500212256;05407007972081;300228;32500587;UR2500212256
010540700797208117300228103250058721UR2500212258;05407007972081;300228;32500587;UR2500212258
010540700797208117300228103250058721UR2500212260;05407007972081;300228;32500587;UR2500212260
010540700797208117300228103250058721UR2500212262;05407007972081;300228;32500587;UR2500212262
010540700797208117300228103250058721UR2500212264;05407007972081;300228;32500587;UR2500212264
010540700797208117300228103250058721UR2500212266;05407007972081;300228;32500587;UR2500212266
010540700797208117300228103250058721UR2500212268;05407007972081;300228;32500587;UR2500212268
010540700797208117300228103250058721UR2500212270;05407007972081;300228;32500587;UR2500212270
010540700797208117300228103250058721UR2500212272;05407007972081;300228;32500587;UR2500212272
010540700797208117300228103250058721UR2500212274;05407007972081;300228;32500587;UR2500212274
010540700797208117300228103250058721UR2500212276;05407007972081;300228;32500587;UR2500212276
010540700797208117300228103250058721UR2500212278;05407007972081;300228;32500587;UR2500212278
010540700797208117300228103250058721UR2500212280;05407007972081;300228;32500587;UR2500212280
010540700797208117300228103250058721UR2500212282;05407007972081;300228;32500587;UR2500212282
010540700797208117300228103250058721UR2500212284;05407007972081;300228;32500587;UR2500212284
010540700797208117300228103250058721UR2500212286;05407007972081;300228;32500587;UR2500212286
010540700797208117300228103250058721UR2500212288;05407007972081;300228;32500587;UR2500212288
010540700797208117300228103250058721UR2500212290;05407007972081;300228;32500587;UR2500212290
010540700797208117300228103250058721UR2500212292;05407007972081;300228;32500587;UR2500212292
010540700797208117300228103250058721UR2500212294;05407007972081;300228;32500587;UR2500212294
010540700797208117300228103250058721UR2500212296;05407007972081;300228;32500587;UR2500212296
010540700797208117300228103250058721UR2500212298;05407007972081;300228;32500587;UR2500212298
010540700797208117300228103250058721UR2500212300;05407007972081;300228;32500587;UR2500212300
010540700797208117300228103250058721UR2500212302;05407007972081;300228;32500587;UR2500212302
010540700797208117300228103250058721UR2500212304;05407007972081;300228;32500587;UR2500212304
010540700797208117300228103250058721UR2500212306;05407007972081;300228;32500587;UR2500212306
010540700797208117300228103250058721UR2500212308;05407007972081;300228;32500587;UR2500212308
010540700797208117300228103250058721UR2500212310;05407007972081;300228;32500587;UR2500212310
010540700797208117300228103250058721UR2500212312;05407007972081;300228;32500587;UR2500212312
010540700797208117300228103250058721UR2500212314;05407007972081;300228;32500587;UR2500212314
010540700797208117300228103250058721UR2500212316;05407007972081;300228;32500587;UR2500212316
010540700797208117300228103250058721UR2500212318;05407007972081;300228;32500587;UR2500212318
010540700797208117300228103250058721UR2500212320;05407007972081;300228;32500587;UR2500212320
010540700797208117300228103250058721UR2500212322;05407007972081;300228;32500587;UR2500212322
010540700797208117300228103250058721UR2500212324;05407007972081;300228;32500587;UR2500212324
010540700797208117300228103250058721UR2500212326;05407007972081;300228;32500587;UR2500212326
010540700797208117300228103250058721UR2500212328;05407007972081;300228;32500587;UR2500212328
010540700797208117300228103250058721UR2500212330;05407007972081;300228;32500587;UR2500212330
010540700797208117300228103250058721UR2500212332;05407007972081;300228;32500587;UR2500212332
010540700797208117300228103250058721UR2500212334;05407007972081;300228;32500587;UR2500212334
010540700797208117300228103250058721UR2500212336;05407007972081;300228;32500587;UR2500212336
010540700797208117300228103250058721UR2500212338;05407007972081;300228;32500587;UR2500212338
010540700797208117300228103250058721UR2500212340;05407007972081;300228;32500587;UR2500212340
010540700797208117300228103250058721UR2500212342;05407007972081;300228;32500587;UR2500212342
010540700797208117300228103250058721UR2500212344;05407007972081;300228;32500587;UR2500212344
010540700797208117300228103250058721UR2500212346;05407007972081;300228;32500587;UR2500212346
010540700797208117300228103250058721UR2500212348;05407007972081;300228;32500587;UR2500212348
010540700797208117300228103250058721UR2500212350;05407007972081;300228;32500587;UR2500212350
010540700797208117300228103250058721UR2500212352;05407007972081;300228;32500587;UR2500212352
010540700797208117300228103250058721UR2500212354;05407007972081;300228;32500587;UR2500212354
010540700797208117300228103250058721UR2500212356;05407007972081;300228;32500587;UR2500212356
010540700797208117300228103250058721UR2500212358;05407007972081;300228;32500587;UR2500212358
010540700797208117300228103250058721UR2500212360;05407007972081;300228;32500587;UR2500212360
010540700797208117300228103250058721UR2500212362;05407007972081;300228;32500587;UR2500212362
010540700797208117300228103250058721UR2500212364;05407007972081;300228;32500587;UR2500212364
010540700797208117300228103250058721UR2500212366;05407007972081;300228;32500587;UR2500212366
010540700797208117300228103250058721UR2500212368;05407007972081;300228;32500587;UR2500212368
010540700797208117300228103250058721UR2500212370;05407007972081;300228;32500587;UR2500212370
010540700797208117300228103250058721UR2500212372;05407007972081;300228;32500587;UR2500212372
010540700797208117300228103250058721UR2500212374;05407007972081;300228;32500587;UR2500212374
010540700797208117300228103250058721UR2500212376;05407007972081;300228;32500587;UR2500212376
010540700797208117300228103250058721UR2500212378;05407007972081;300228;32500587;UR2500212378
010540700797208117300228103250058721UR2500212380;05407007972081;300228;32500587;UR2500212380
010540700797208117300228103250058721UR2500212382;05407007972081;300228;32500587;UR2500212382
010540700797208117300228103250058721UR2500212384;05407007972081;300228;32500587;UR2500212384
010540700797208117300228103250058721UR2500212386;05407007972081;300228;32500587;UR2500212386
010540700797208117300228103250058721UR2500212388;05407007972081;300228;32500587;UR2500212388
010540700797208117300228103250058721UR2500212390;05407007972081;300228;32500587;UR2500212390
010540700797208117300228103250058721UR2500212392;05407007972081;300228;32500587;UR2500212392
010540700797208117300228103250058721UR2500212394;05407007972081;300228;32500587;UR2500212394
010540700797208117300228103250058721UR2500212396;05407007972081;300228;32500587;UR2500212396
010540700797208117300228103250058721UR2500212398;05407007972081;300228;32500587;UR2500212398
010540700797208117300228103250058721UR2500212400;05407007972081;300228;32500587;UR2500212400
010540700797208117300228103250058721UR2500212402;05407007972081;300228;32500587;UR2500212402
010540700797208117300228103250058721UR2500212404;05407007972081;300228;32500587;UR2500212404
010540700797208117300228103250058721UR2500212406;05407007972081;300228;32500587;UR2500212406
010540700797208117300228103250058721UR2500212408;05407007972081;300228;32500587;UR2500212408
010540700797208117300228103250058721UR2500212410;05407007972081;300228;32500587;UR2500212410
010540700797208117300228103250058721UR2500212412;05407007972081;300228;32500587;UR2500212412
010540700797208117300228103250058721UR2500212414;05407007972081;300228;32500587;UR2500212414
010540700797208117300228103250058721UR2500212416;05407007972081;300228;32500587;UR2500212416
010540700797208117300228103250058721UR2500212418;05407007972081;300228;32500587;UR2500212418
010540700797208117300228103250058721UR2500212420;05407007972081;300228;32500587;UR2500212420
010540700797208117300228103250058721UR2500212422;05407007972081;300228;32500587;UR2500212422
010540700797208117300228103250058721UR2500212424;05407007972081;300228;32500587;UR2500212424
010540700797208117300228103250058721UR2500212426;05407007972081;300228;32500587;UR2500212426
010540700797208117300228103250058721UR2500212428;05407007972081;300228;32500587;UR2500212428
010540700797208117300228103250058721UR2500212430;05407007972081;300228;32500587;UR2500212430
010540700797208117300228103250058721UR2500212432;05407007972081;300228;32500587;UR2500212432
010540700797208117300228103250058721UR2500212434;05407007972081;300228;32500587;UR2500212434
010540700797208117300228103250058721UR2500212436;05407007972081;300228;32500587;UR2500212436
010540700797208117300228103250058721UR2500212438;05407007972081;300228;32500587;UR2500212438
010540700797208117300228103250058721UR2500212440;05407007972081;300228;32500587;UR2500212440
010540700797208117300228103250058721UR2500212442;05407007972081;300228;32500587;UR2500212442
010540700797208117300228103250058721UR2500212444;05407007972081;300228;32500587;UR2500212444
010540700797208117300228103250058721UR2500212446;05407007972081;300228;32500587;UR2500212446
010540700797208117300228103250058721UR2500212448;05407007972081;300228;32500587;UR2500212448
010540700797208117300228103250058721UR2500212450;05407007972081;300228;32500587;UR2500212450
010540700797208117300228103250058721UR2500212452;05407007972081;300228;32500587;UR2500212452
010540700797208117300228103250058721UR2500212454;05407007972081;300228;32500587;UR2500212454
