Detector;Name;Score value;Execution time;Datacode-1:String;Datacode-1:String length;Datacode-1:Truncated;Datacode-1:Contrast;Datacode-1:Decoding error;Datacode-1:Module height;Datacode-1:Module width;Datacode-1:Position X;Datacode-1:Position Y;Datacode-1:Angle;Datacode-1:Compare result;Datacode-1:Quality all;Datacode-1:Quality- Q1;Datacode-1:Quality- Q2;Datacode-1:Quality- Q3;Datacode-1:Quality- Q4;Datacode-1:Quality- Q5;Datacode-1:Quality- Q6;Datacode-1:Quality- Q7;Datacode-1:Quality- Q8;Datacode-1:Quality- Q9;Datacode-2:String;Datacode-2:String length;Datacode-2:Truncated;Datacode-2:Contrast;Datacode-2:Decoding error;Datacode-2:Module height;Datacode-2:Module width;Datacode-2:Position X;Datacode-2:Position Y;Datacode-2:Angle;Datacode-2:Compare result;Datacode-2:Quality all;Datacode-2:Quality- Q1;Datacode-2:Quality- Q2;Datacode-2:Quality- Q3;Datacode-2:Quality- Q4;Datacode-2:Quality- Q5;Datacode-2:Quality- Q6;Datacode-2:Quality- Q7;Datacode-2:Quality- Q8;Datacode-2:Quality- Q9;Datacode-3:String;Datacode-3:String length;Datacode-3:Truncated;Datacode-3:Contrast;Datacode-3:Decoding error;Datacode-3:Module height;Datacode-3:Module width;Datacode-3:Position X;Datacode-3:Position Y;Datacode-3:Angle;Datacode-3:Compare result;Datacode-3:Quality all;Datacode-3:Quality- Q1;Datacode-3:Quality- Q2;Datacode-3:Quality- Q3;Datacode-3:Quality- Q4;Datacode-3:Quality- Q5;Datacode-3:Quality- Q6;Datacode-3:Quality- Q7;Datacode-3:Quality- Q8;Datacode-3:Quality- Q9;Datacode-4:String;Datacode-4:String length;Datacode-4:Truncated;Datacode-4:Contrast;Datacode-4:Decoding error;Datacode-4:Module height;Datacode-4:Module width;Datacode-4:Position X;Datacode-4:Position Y;Datacode-4:Angle;Datacode-4:Compare result;Datacode-4:Quality all;Datacode-4:Quality- Q1;Datacode-4:Quality- Q2;Datacode-4:Quality- Q3;Datacode-4:Quality- Q4;Datacode-4:Quality- Q5;Datacode-4:Quality- Q6;Datacode-4:Quality- Q7;Datacode-4:Quality- Q8;Datacode-4:Quality- Q9;Datacode-5:String;Datacode-5:String length;Datacode-5:Truncated;Datacode-5:Contrast;Datacode-5:Decoding error;Datacode-5:Module height;Datacode-5:Module width;Datacode-5:Position X;Datacode-5:Position Y;Datacode-5:Angle;Datacode-5:Compare result;Datacode-5:Quality all;Datacode-5:Quality- Q1;Datacode-5:Quality- Q2;Datacode-5:Quality- Q3;Datacode-5:Quality- Q4;Datacode-5:Quality- Q5;Datacode-5:Quality- Q6;Datacode-5:Quality- Q7;Datacode-5:Quality- Q8;Datacode-5:Quality- Q9
Datacode;Detector1;100;68;01054070079720981729073110141251421UR2500164096;48;0;52;16;4;4;180.724;240.463;1.57859;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datacode;Detector1;100;309;01054070079720981729073110141251421UR2500164098;48;0;43;4;3;3;121.015;271.226;-88.5834;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datacode;Detector1;100;300;01054070079720981729073110141251421UR2500164100;48;0;41;17;3;3;119.524;263.894;-88.7423;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datacode;Detector1;100;177;01054070079720981729073110141251421UR2500164102;48;0;42;3;3;3;234.265;259.858;-87.1892;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
