UDI;UDI-DI;EXPIRY DATE;LOT;UNIQUE NR
010540700797208117300228103250058721UR2500213721;05407007972081;300228;32500587;UR2500213721
010540700797208117300228103250058721UR2500213723;05407007972081;300228;32500587;UR2500213723
010540700797208117300228103250058721UR2500213725;05407007972081;300228;32500587;UR2500213725
010540700797208117300228103250058721UR2500213727;05407007972081;300228;32500587;UR2500213727
010540700797208117300228103250058721UR2500213729;05407007972081;300228;32500587;UR2500213729
010540700797208117300228103250058721UR2500213731;05407007972081;300228;32500587;UR2500213731
010540700797208117300228103250058721UR2500213733;05407007972081;300228;32500587;UR2500213733
010540700797208117300228103250058721UR2500213735;05407007972081;300228;32500587;UR2500213735
010540700797208117300228103250058721UR2500213737;05407007972081;300228;32500587;UR2500213737
010540700797208117300228103250058721UR2500213739;05407007972081;300228;32500587;UR2500213739
010540700797208117300228103250058721UR2500213741;05407007972081;300228;32500587;UR2500213741
010540700797208117300228103250058721UR2500213743;05407007972081;300228;32500587;UR2500213743
010540700797208117300228103250058721UR2500213745;05407007972081;300228;32500587;UR2500213745
010540700797208117300228103250058721UR2500213747;05407007972081;300228;32500587;UR2500213747
010540700797208117300228103250058721UR2500213749;05407007972081;300228;32500587;UR2500213749
010540700797208117300228103250058721UR2500213751;05407007972081;300228;32500587;UR2500213751
010540700797208117300228103250058721UR2500213753;05407007972081;300228;32500587;UR2500213753
010540700797208117300228103250058721UR2500213755;05407007972081;300228;32500587;UR2500213755
010540700797208117300228103250058721UR2500213757;05407007972081;300228;32500587;UR2500213757
010540700797208117300228103250058721UR2500213759;05407007972081;300228;32500587;UR2500213759
010540700797208117300228103250058721UR2500213761;05407007972081;300228;32500587;UR2500213761
010540700797208117300228103250058721UR2500213763;05407007972081;300228;32500587;UR2500213763
010540700797208117300228103250058721UR2500213765;05407007972081;300228;32500587;UR2500213765
010540700797208117300228103250058721UR2500213769;05407007972081;300228;32500587;UR2500213769
010540700797208117300228103250058721UR2500213771;05407007972081;300228;32500587;UR2500213771
010540700797208117300228103250058721UR2500213773;05407007972081;300228;32500587;UR2500213773
010540700797208117300228103250058721UR2500213775;05407007972081;300228;32500587;UR2500213775
010540700797208117300228103250058721UR2500213777;05407007972081;300228;32500587;UR2500213777
010540700797208117300228103250058721UR2500213779;05407007972081;300228;32500587;UR2500213779
010540700797208117300228103250058721UR2500213781;05407007972081;300228;32500587;UR2500213781
010540700797208117300228103250058721UR2500213785;05407007972081;300228;32500587;UR2500213785
010540700797208117300228103250058721UR2500213787;05407007972081;300228;32500587;UR2500213787
010540700797208117300228103250058721UR2500213789;05407007972081;300228;32500587;UR2500213789
010540700797208117300228103250058721UR2500213791;05407007972081;300228;32500587;UR2500213791
010540700797208117300228103250058721UR2500213793;05407007972081;300228;32500587;UR2500213793
010540700797208117300228103250058721UR2500213795;05407007972081;300228;32500587;UR2500213795
010540700797208117300228103250058721UR2500213797;05407007972081;300228;32500587;UR2500213797
010540700797208117300228103250058721UR2500213799;05407007972081;300228;32500587;UR2500213799
010540700797208117300228103250058721UR2500213801;05407007972081;300228;32500587;UR2500213801
010540700797208117300228103250058721UR2500213803;05407007972081;300228;32500587;UR2500213803
010540700797208117300228103250058721UR2500213805;05407007972081;300228;32500587;UR2500213805
010540700797208117300228103250058721UR2500213807;05407007972081;300228;32500587;UR2500213807
010540700797208117300228103250058721UR2500213809;05407007972081;300228;32500587;UR2500213809
010540700797208117300228103250058721UR2500213811;05407007972081;300228;32500587;UR2500213811
010540700797208117300228103250058721UR2500213813;05407007972081;300228;32500587;UR2500213813
010540700797208117300228103250058721UR2500213815;05407007972081;300228;32500587;UR2500213815
010540700797208117300228103250058721UR2500213817;05407007972081;300228;32500587;UR2500213817
010540700797208117300228103250058721UR2500213819;05407007972081;300228;32500587;UR2500213819
010540700797208117300228103250058721UR2500213821;05407007972081;300228;32500587;UR2500213821
010540700797208117300228103250058721UR2500213823;05407007972081;300228;32500587;UR2500213823
010540700797208117300228103250058721UR2500213825;05407007972081;300228;32500587;UR2500213825
010540700797208117300228103250058721UR2500213827;05407007972081;300228;32500587;UR2500213827
010540700797208117300228103250058721UR2500213829;05407007972081;300228;32500587;UR2500213829
010540700797208117300228103250058721UR2500213831;05407007972081;300228;32500587;UR2500213831
010540700797208117300228103250058721UR2500213833;05407007972081;300228;32500587;UR2500213833
010540700797208117300228103250058721UR2500213835;05407007972081;300228;32500587;UR2500213835
010540700797208117300228103250058721UR2500213837;05407007972081;300228;32500587;UR2500213837
010540700797208117300228103250058721UR2500213839;05407007972081;300228;32500587;UR2500213839
010540700797208117300228103250058721UR2500213841;05407007972081;300228;32500587;UR2500213841
010540700797208117300228103250058721UR2500213843;05407007972081;300228;32500587;UR2500213843
010540700797208117300228103250058721UR2500213845;05407007972081;300228;32500587;UR2500213845
010540700797208117300228103250058721UR2500213847;05407007972081;300228;32500587;UR2500213847
010540700797208117300228103250058721UR2500213849;05407007972081;300228;32500587;UR2500213849
010540700797208117300228103250058721UR2500213851;05407007972081;300228;32500587;UR2500213851
010540700797208117300228103250058721UR2500213853;05407007972081;300228;32500587;UR2500213853
010540700797208117300228103250058721UR2500213855;05407007972081;300228;32500587;UR2500213855
010540700797208117300228103250058721UR2500213857;05407007972081;300228;32500587;UR2500213857
010540700797208117300228103250058721UR2500213859;05407007972081;300228;32500587;UR2500213859
010540700797208117300228103250058721UR2500213861;05407007972081;300228;32500587;UR2500213861
010540700797208117300228103250058721UR2500213863;05407007972081;300228;32500587;UR2500213863
010540700797208117300228103250058721UR2500213865;05407007972081;300228;32500587;UR2500213865
010540700797208117300228103250058721UR2500213867;05407007972081;300228;32500587;UR2500213867
010540700797208117300228103250058721UR2500213869;05407007972081;300228;32500587;UR2500213869
010540700797208117300228103250058721UR2500213871;05407007972081;300228;32500587;UR2500213871
010540700797208117300228103250058721UR2500213873;05407007972081;300228;32500587;UR2500213873
010540700797208117300228103250058721UR2500213875;05407007972081;300228;32500587;UR2500213875
010540700797208117300228103250058721UR2500213877;05407007972081;300228;32500587;UR2500213877
010540700797208117300228103250058721UR2500213879;05407007972081;300228;32500587;UR2500213879
010540700797208117300228103250058721UR2500213883;05407007972081;300228;32500587;UR2500213883
010540700797208117300228103250058721UR2500213885;05407007972081;300228;32500587;UR2500213885
010540700797208117300228103250058721UR2500213887;05407007972081;300228;32500587;UR2500213887
010540700797208117300228103250058721UR2500213889;05407007972081;300228;32500587;UR2500213889
010540700797208117300228103250058721UR2500213891;05407007972081;300228;32500587;UR2500213891
010540700797208117300228103250058721UR2500213893;05407007972081;300228;32500587;UR2500213893
010540700797208117300228103250058721UR2500213895;05407007972081;300228;32500587;UR2500213895
010540700797208117300228103250058721UR2500213897;05407007972081;300228;32500587;UR2500213897
010540700797208117300228103250058721UR2500213899;05407007972081;300228;32500587;UR2500213899
010540700797208117300228103250058721UR2500213901;05407007972081;300228;32500587;UR2500213901
010540700797208117300228103250058721UR2500213903;05407007972081;300228;32500587;UR2500213903
010540700797208117300228103250058721UR2500213905;05407007972081;300228;32500587;UR2500213905
